id,text,label
1,"заказ 2270
Ая
Marshall Acton III - 1",order
2,"заказ 2212
Дарья
AirPods 4 ANC - 3",order
3,SYN_NOT_ORDER_9: generic chat message,not_order
4,"заказ 3067
Михаил
iPhone 15 Pro 256 - 4
Apple Watch S9 - 1
доставка СДЭК",order
5,заказ отменить 2205,not_order
6,"заказ 9082
Gen Name
SamplePad 2 30000 - 3",order
7,"заказ 9000
Synthetic User
SamplePad 2 30000 - 2",order
8,"СРОЧНО заказ 3265
Татьяна
Dyson V15 - 2
Apple Watch S9 - 2
Canon R50 - 1",order
9,private start menu inline,not_order
10,template noise message 0 without order structure,not_order
11,SYN_NOT_ORDER_117: generic chat message,not_order
12,"заказ №3324
Юля
PlayStation 5 - 2
MacBook Air M2 - 3",order
13,"СРОЧНО заказ 3235
Елена С.
Redmi Note 13 - 3
AirPods Pro 2 - 1
iPhone 14 128 - 5",order
14,"Бот 🔥 не ставит на сообщение, оно уже удалено?",not_order
15,SYN_NOT_ORDER_113: generic chat message,not_order
16,"заказ 2288
Виктория N
Huawei FreeBuds Pro 3 - 1",order
17,template noise message 49 without order structure,not_order
18,"ЗАКАЗ 2190
Дмитрий Соколов
MacBook Air 15 M2 512 - 1",order
19,Model versioning mlflow,not_order
20,"Ребят, кто знает, когда будет поставка?",not_order
21,"заказ 3023
Роман
iPhone 15 Pro 256 - 3
iPhone 14 128 - 3",order
22,"Заказ 3234
Вика
Canon R50 - 4
MacBook Air M2 - 4",order
23,"СРОЧНО заказ 3158
Вика
Samsung S24 Ultra - 5
Samsung A55 - 4",order
24,Forwarded message metadata,not_order
25,template noise message 79 without order structure,not_order
26,кнопка перенести заказы серый экран,not_order
27,"заказ 9056
Gen Name
FakeBook Pro 50000 - 2",order
28,Docker bot 250M мало?,not_order
29,"заказ 9090
Synthetic User
SamplePad 2 30000 - 1",order
30,AdamW optimizer,not_order
31,"заказ 3042
Роман
iPhone 15 Pro 256 - 5",order
32,"заказ 9037
Sample Person
SamplePad 2 30000 - 1",order
33,Duplicate texts между split,not_order
34,Беру два айфона как в прошлый раз — напишите когда можно повторить,not_order
35,auto generated not order sample #53,not_order
36,auto generated not order sample #52,not_order
37,"заказ 9098
Synthetic User
FakeBook Pro 50000 - 2",order
38,"заказ 2221
Timur K.
iPhone 15 Pro 1TB White - 1",order
39,"заказ 3364
Наталья
PlayStation 5 - 3
Samsung A55 - 3
iPad Air 11 - 1
оплата картой",order
40,auto generated not order sample #34,not_order
41,telethon user bot ban risk,not_order
42,template noise message 51 without order structure,not_order
43,Количество не 2 а 3,not_order
44,"номер заказа 9999 ошибочный, вопрос про iPhone 15 Pro",not_order
45,Спс,not_order
46,template noise message 27 without order structure,not_order
47,Статус заказа 2210?,not_order
48,SYN_NOT_ORDER_40: generic chat message,not_order
49,White list black list phrases,not_order
50,"заказ 3051
Ира
iPhone 14 128 - 1
Samsung S24 Ultra - 1
MacBook Air M2 - 5",order
51,"заказ №3245
Ира
Canon R50 - 2
GoPro Hero 12 - 3",order
52,"заказ 9073
Synthetic User
SamplePad 2 30000 - 2",order
53,"Заказ 3144
Aisha
MacBook Air M2 - 3
PlayStation 5 - 4
Apple Watch S9 - 4",order
54,15 про макс 512 natural сколько будет?,not_order
55,"заказ №3218
Макс
iPad Air 11 - 1",order
56,template noise message 42 without order structure,not_order
57,"заказ 3321
Елена С.
Samsung S24 Ultra - 5
PlayStation 5 - 3
Samsung A55 - 4
наличные",order
58,"заказ 2286
Олеся
Insta360 X4 - 1
SD 128 - 2",order
59,auto generated not order sample #110,not_order
60,Финальная?,not_order
61,"СРОЧНО заказ 3072
Zaur
Dyson V15 - 2
Redmi Note 13 - 5",order
62,rubert-tiny2 на cpu норм,not_order
63,"заказ 3275
Света
Galaxy Buds3 - 4
iPhone 15 Pro 256 - 3
iPhone 14 128 - 5
доставка СДЭК",order
64,Клиент написал без слова заказ — это заказ?,not_order
65,managers only auth middleware,not_order
66,"заказ 3139
Алина
GoPro Hero 12 - 5
iPhone 15 Pro 256 - 4
Redmi Note 13 - 4
самовывоз завтра",order
67,"Forwarded from supplier:
Price list update March",not_order
68,заказ 3317 статус?,not_order
69,telegram tos userbot caution,not_order
70,template noise message 64 without order structure,not_order
71,"Заказ 2195 отменён, передумал",not_order
72,Voice not supported,not_order
73,"заказ 3091
Алина
Xiaomi 14 - 1
Redmi Note 13 - 4
iPhone 15 Pro 256 - 2",order
74,"заказ 9026
Тест Клиент
SamplePad 2 30000 - 1",order
75,есть Samsung S24?,not_order
76,"СРОЧНО заказ 3195
Наталья
Samsung S24 Ultra - 3",order
77,"заказ 3324 черновик, не переносить",not_order
78,"заказ 3201
Лuda
Apple Watch S9 - 3
самовывоз завтра",order
79,"заказ 2188
Марина
Samsung S24 Ultra - 2
Galaxy Buds3 - 2",order
80,template noise message 4 without order structure,not_order
81,"заказ 9017
Synthetic User
SamplePad 2 30000 - 3",order
82,"заказ 3040
Лuda
Apple Watch S9 - 4
Galaxy Buds3 - 2
PlayStation 5 - 2
оплата картой",order
83,Warmup steps,not_order
84,"заказ 2271
Белла
GoPro Max - 1",order
85,"заказ 3229
Ира
Dyson V15 - 1
iPhone 15 Pro 256 - 3
самовывоз завтра",order
86,probability threshold 0.7,not_order
87,"заказ 3215
Иван Петров
MacBook Air M2 - 2",order
88,"Клиент спрашивает:
есть ли 15 про 256 синий
и когда будет",not_order
89,"заказ №3086
Борис
Canon R50 - 5
Galaxy Buds3 - 1",order
90,заказ 3331 не принят складом,not_order
91,Опечатка exel в названии проекта,not_order
92,"СРОЧНО заказ 3233
Ольга
Redmi Note 13 - 2
Samsung S24 Ultra - 4
iPhone 15 Pro 256 - 4",order
93,"заказ 2237
Константин
Lenovo Legion Go - 1",order
94,"заказ 3356
Ольга
Redmi Note 13 - 2
GoPro Hero 12 - 3
PlayStation 5 - 1
доставка СДЭК",order
95,"заказ 3266
Алексей
Samsung A55 - 2
iPhone 15 Pro 256 - 1
наличные",order
96,"Заказ 3177
Алексей
MacBook Air M2 - 4",order
97,"заказ 3116
Виктор
Samsung S24 Ultra - 1
MacBook Air M2 - 5
оплата картой",order
98,total_clear_chat случайно,not_order
99,template noise message 58 without order structure,not_order
100,"заказ 9038
Sample Person
TestPhone X1 10000 - 1",order
101,"заказ 2275
Корп. клиент
ООО Техно
MacBook Air M2 - 15",order
102,"заказ 9041
Тест Клиент
SamplePad 2 30000 - 1",order
103,"заказ 3056
Иван Петров
iPhone 14 128 - 2
доставка СДЭК",order
104,"заказ 9005
Auto Buyer
TestPhone X1 10000 - 2",order
105,Human in the loop кнопки хорошо/плохо,not_order
106,"заказ 3277
Алексей
iPhone 14 128 - 2
наличные",order
107,Позже отвечу,not_order
108,"заказ 2194
Анна Морозова
Dyson V15 Detect - 1",order
109,"заказ 9064
Тест Клиент
FakeBook Pro 50000 - 2",order
110,"Заказ 3241
Дмитрий
GoPro Hero 12 - 1
Galaxy Buds3 - 5",order
111,"заказ 9008
Тест Клиент
SamplePad 2 30000 - 3",order
112,Wandb invite,not_order
